distance,split_1,filepath_1,group_id_1,split_2,filepath_2,group_id_2
2,train,data/raw/chest_xray/train/NORMAL/IM-0286-0001.jpeg,NORMAL_IM-0286,val,data/raw/chest_xray/train/NORMAL/IM-0307-0001.jpeg,NORMAL_IM-0307
2,train,data/raw/chest_xray/train/NORMAL/IM-0401-0001.jpeg,NORMAL_IM-0401,val,data/raw/chest_xray/train/NORMAL/IM-0544-0001.jpeg,NORMAL_IM-0544
4,train,data/raw/chest_xray/train/NORMAL/IM-0168-0001.jpeg,NORMAL_IM-0168,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0806-0001.jpeg,NORMAL_IM-0806
4,train,data/raw/chest_xray/train/NORMAL/IM-0394-0001.jpeg,NORMAL_IM-0394,test,data/raw/chest_xray/train/NORMAL/IM-0129-0001.jpeg,NORMAL_IM-0129
4,train,data/raw/chest_xray/train/NORMAL/IM-0486-0001.jpeg,NORMAL_IM-0486,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0995-0001.jpeg,NORMAL_IM-0995
4,train,data/raw/chest_xray/train/NORMAL/IM-0551-0001-0001.jpeg,NORMAL_IM-0551,test,data/raw/chest_xray/train/NORMAL/IM-0223-0001.jpeg,NORMAL_IM-0223
4,train,data/raw/chest_xray/train/NORMAL/IM-0551-0001-0002.jpeg,NORMAL_IM-0551,test,data/raw/chest_xray/train/PNEUMONIA/person512_virus_1029.jpeg,PNEUMONIA_PERSON512
4,train,data/raw/chest_xray/train/NORMAL/IM-0557-0001.jpeg,NORMAL_IM-0557,test,data/raw/chest_xray/train/NORMAL/IM-0524-0001.jpeg,NORMAL_IM-0524
4,train,data/raw/chest_xray/train/NORMAL/IM-0560-0001.jpeg,NORMAL_IM-0560,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0629-0001.jpeg,NORMAL_IM-0629
4,train,data/raw/chest_xray/train/NORMAL/IM-0618-0001-0001.jpeg,NORMAL_IM-0618,test,data/raw/chest_xray/train/NORMAL/IM-0419-0001.jpeg,NORMAL_IM-0419
4,train,data/raw/chest_xray/train/NORMAL/IM-0619-0001.jpeg,NORMAL_IM-0619,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0806-0001.jpeg,NORMAL_IM-0806
4,train,data/raw/chest_xray/train/NORMAL/IM-0648-0001.jpeg,NORMAL_IM-0648,test,data/raw/chest_xray/train/NORMAL/IM-0543-0001-0002.jpeg,NORMAL_IM-0543
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0423-0001.jpeg,NORMAL_IM-0423,test,data/raw/chest_xray/train/NORMAL/IM-0640-0001-0002.jpeg,NORMAL_IM-0640
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0455-0001.jpeg,NORMAL_IM-0455,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0969-0001.jpeg,NORMAL_IM-0969
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0564-0001.jpeg,NORMAL_IM-0564,test,data/raw/chest_xray/train/NORMAL/IM-0475-0001.jpeg,NORMAL_IM-0475
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0892-0001.jpeg,NORMAL_IM-0892,test,data/raw/chest_xray/train/NORMAL/IM-0524-0001.jpeg,NORMAL_IM-0524
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0936-0001.jpeg,NORMAL_IM-0936,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0416-0001.jpeg,NORMAL_IM-0416
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0936-0001.jpeg,NORMAL_IM-0936,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0629-0001.jpeg,NORMAL_IM-0629
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0936-0001.jpeg,NORMAL_IM-0936,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0898-0001.jpeg,NORMAL_IM-0898
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0951-0001.jpeg,NORMAL_IM-0951,test,data/raw/chest_xray/train/NORMAL/IM-0475-0001.jpeg,NORMAL_IM-0475
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1002-0001.jpeg,NORMAL_IM-1002,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0629-0001.jpeg,NORMAL_IM-0629
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1104-0001.jpeg,NORMAL_IM-1104,test,data/raw/chest_xray/train/NORMAL/IM-0524-0001.jpeg,NORMAL_IM-0524
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1106-0001.jpeg,NORMAL_IM-1106,test,data/raw/chest_xray/train/NORMAL/IM-0637-0001.jpeg,NORMAL_IM-0637
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1176-0001.jpeg,NORMAL_IM-1176,test,data/raw/chest_xray/train/NORMAL/IM-0524-0001.jpeg,NORMAL_IM-0524
4,train,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-1225-0001.jpeg,NORMAL_IM-1225,test,data/raw/chest_xray/train/NORMAL/NORMAL2-IM-0472-0001.jpeg,NORMAL_IM-0472
